iauname,dr8_id,MANGAID,PLATEIFU,Omega_sini,Omega_sini_ll,Omega_sini_ul,Omega,Omega_ll,Omega_ul,Omega_phys_sini,Omega_phys_sini_ll,Omega_phys_sini_ul,Omega_phys,Omega_phys_ll,Omega_phys_ul,Rcr,Rcr_ll,Rcr_ul,Rcr_phys,Rcr_phys_ll,Rcr_phys_ul,R,R_ll,R_ul
J134129.65+231001.0,461602_672,1-523085,9881-12705,10.334194647971636,9.525092724688644,11.288465641901103,15.398593665154596,14.192981406556846,16.820516880511033,16.83005678401111,15.512370038525038,18.384162891188023,25.0778328265118,23.11439750688749,27.3935477198489,11.650657395900232,10.37504142292874,12.685291176767285,7.153877307202308,6.3706081875596015,7.789175631983044,1.189286411804864,1.0414652062037912,1.35020744941222
J162926.76+382509.8,537046_605,1-211264,8602-3701,15.390172524854224,12.341578798314051,17.873724529833403,20.035754324094327,16.06693104805294,23.26897589731032,25.19228872662561,20.20202281211748,29.257633613174765,32.79667638378881,26.300079824294823,38.08916100396258,6.856887697241218,5.218412829593547,9.601933473295594,4.188928040212558,3.1879705184736045,5.865898661680897,1.425069860902961,1.0716078699051577,2.080462637164082
J164934.70+361203.2,526744_1278,1-136047,11947-6103,12.208629642541355,3.7020148034470095,24.23871469692707,17.10381380594716,5.186378304439849,33.95749360985754,20.320020551222644,6.161626578043595,40.34287182080943,28.467556000722915,8.632198438177497,56.518789432020355,15.128213523842271,6.608644387480554,55.785386670708846,9.089299668782216,3.970591051452211,33.51685219076554,5.606413706164764,2.4295459823846124,20.776671639858133
J170107.08+644036.6,630378_701,1-22662,7992-6104,10.786359846770342,10.106316975127823,11.421731224183748,13.178779204313448,12.347902524677412,13.955076232655124,19.78835855224838,18.54077063879749,20.953993373328174,24.177425181485475,22.653121720178053,25.601598318493288,8.588290503222396,7.675363423250505,10.011425385052394,4.68135806169894,4.1837341697304335,5.457089151540407,1.1137140295692023,0.935686360369958,1.4713152235238056
J150138.98+380320.9,534710_2710,1-252619,8441-12705,7.115008358627199,4.887370298034528,10.098232832078985,9.901639343541037,6.801534951226637,14.05325959864978,12.342191423243268,8.47797454819213,17.51710136768502,17.176076544410357,11.798418513188592,24.377767578692243,10.486604490102462,5.852570799340026,17.474852922871865,6.04530233262984,3.373881406371783,10.073877510752622,2.137253566807379,1.1956506578268318,3.7772444412387145
J163843.49+371515.0,531357_2050,1-634095,12667-6103,12.079455355773066,10.940551183197003,12.975726301164343,16.078724996483324,14.562752094654924,17.27173359073233,19.902888511548568,18.02635665605514,21.379642237347756,26.49234270814327,23.994528132654207,28.45802049288787,9.90834281403393,8.97236607162942,11.26814651568158,6.013568563295203,5.4455058287149,6.838860233754836,1.1651209134470286,0.9918377097320028,1.525993988480419
J212913.44-001741.1,330217_2881,1-289846,8616-12702,9.400441806309043,5.0639846159090025,11.411838530274627,12.543974722493331,6.757394633774014,15.227987897852454,15.38537202453012,8.288045269315708,18.677354202044626,20.53028163445844,11.059589804321885,24.923111468682396,26.526090096745214,21.073416862686088,53.44282722917957,16.20740570366413,12.87582962322436,32.653496225605515,2.548514407143437,1.9205752620137344,6.567209396093092
J162105.00+395502.6,543743_680,1-210923,8312-12702,8.834007607343082,8.254197057549748,9.698753452985434,12.650897469419824,11.82056947524578,13.88927211392824,13.810847930794749,12.904387840675511,15.162768135507472,19.778070033922234,18.47995776484434,21.714111370635734,12.88950471259656,11.603461517961255,13.754323707206812,8.244677173808407,7.422069074601981,8.797852302203447,2.99833890544826,2.651424973103801,3.624009448603336
J162811.56+394918.8,542641_3611,1-569169,8602-12701,10.0820754393939,8.507749754509135,12.863723427527866,15.91094946845358,13.426439550861064,20.300785752091404,18.72540053465592,15.801411401795797,23.89174480943747,29.551346195974812,24.936875334403705,37.70457250208796,16.574965380099002,13.854348929474003,19.111993496326715,8.924244427147094,7.459418067567101,10.2902236921744,1.3979329325264271,1.1091481494524291,1.725264200298114
J162951.04+394559.5,542643_2445,1-211074,8602-12705,5.238741911027349,2.983785842253325,6.181360550675606,7.940965880576334,4.522868652568114,9.36980176960645,8.234349616159282,4.689968740995284,9.715974701990255,12.48175429543819,7.109127035790459,14.72762447843456,23.313017472490316,19.235795167379145,43.56263563629907,14.831879553179936,12.2379266162722,27.714806353964143,1.8302067685024297,1.4117153676339305,3.970919306225193
J163103.40+395018.5,542643_3773,1-135502,8604-12703,11.254752930666829,10.19000113235062,13.136561896066429,15.23785946510149,13.796287325054948,17.78564889518258,18.419269889228715,16.676721575725587,21.49899517748627,24.937930468209164,22.57868664687571,29.10758407346226,14.520127278087394,11.95971131844934,16.338302656771297,8.872254221774286,7.307759581174328,9.983216534329108,1.678121963075046,1.3836505468988365,1.99652157614285
J162814.01+401849.8,544852_3207,1-211063,8550-12704,6.170868851490031,3.546542389994084,7.699689236277958,15.653601101575196,8.996489991743946,19.53174938755738,9.344672132556031,5.370601229145233,11.659795916455886,23.70456632743339,13.62356765957996,29.57732510518429,11.35423346902357,8.583639134719336,23.28478973896515,7.497907326511865,5.668311377595866,15.376396482984164,1.6242347453609236,1.179982595071188,3.4188999416282018
J161931.90+413945.2,551381_239,1-210631,8600-12704,6.268143576646403,5.8377128244914465,8.221199878051626,8.950272273309153,8.335660884867846,11.739038269003096,11.397433888459227,10.614776953234616,14.948697480863128,16.274377775712733,15.156823179013184,21.345221427847207,11.893996137209054,7.1542744495517745,13.791488573111211,6.541233423042265,3.9345715777243018,7.584780167005271,1.6886369448448146,1.2397581770665207,2.0178337736827645
J162911.07+405126.7,547047_3645,1-135139,11941-12701,8.08767917240037,5.96194313682718,9.554439289845767,8.91191624087021,6.569540746565681,10.528157814439304,12.342113335711453,9.098157373365389,14.580446387743203,13.599931196398192,10.025374984505408,16.0663787709943,,,,,,,,,
J162912.90+410859.0,549226_301,1-633990,8312-12704,6.792511138918291,5.304952944171079,8.005300904563741,9.488707232212786,7.410682785559749,11.182897611158008,11.458668920481887,8.949223370088205,13.504592160129766,16.007033692494364,12.501497425290436,18.86505869143321,13.759253731200795,11.41885616205987,17.914091474697795,8.156260110223524,6.768910788220556,10.61917983056349,1.7130542545470573,1.3903661492175274,2.217523663784192
J213833.31-065414.0,291415_5486,1-212402,12682-12702,7.990985114947012,5.3640198061154525,9.809687688411438,16.8396074181789,11.303736200104195,20.672205890961276,14.290076090668968,9.592340628675233,17.54241579437951,30.11384302201466,20.21418487017284,36.96758170544668,8.265746567347541,4.851766484662716,16.098741664808117,4.622190768230294,2.71309918254771,9.002387684755611,0.9482110732181968,0.5001034978745079,1.8410466204258005
J163137.91+412937.0,550311_2216,1-135044,8978-9101,10.438175628093427,6.983606456846701,12.09429858385388,19.17241495112537,12.82720329840621,22.21431400027206,17.19338850768229,11.503146074124398,19.921294840111138,31.580114248892432,21.1285091987674,36.59062125860073,8.607020329706398,6.808691014143926,14.892079666289511,5.225356816424132,4.133583823299315,9.041041732688877,1.527764454692811,1.180679045295443,2.6993748090762115
J165726.74+404408.2,547068_1718,1-95290,11945-6104,12.431387641945378,10.40568380843312,22.58264816203475,13.548395523415792,11.340674427412,24.611785753750844,21.39400357188089,17.907834827250536,38.86398440435857,23.31633688609307,19.516922502597048,42.356062532349306,16.191110367877325,5.808173227575786,20.41198373152396,9.408148814238428,3.3749481550271474,11.860766567374572,1.8279838763434533,1.1911854238684736,2.5529795143725593
J204515.04-053721.8,299960_98,1-96448,9187-9101,4.524285389939782,1.7600318314715104,6.625057907008784,5.688566014546051,2.2129588206992703,8.329951805872126,8.243007200086756,3.206684328858097,12.070502924041218,10.364264535641071,4.031893198665431,15.176728874102595,,,,,,,,,
J084236.30+271611.9,482205_2871,1-585263,11747-9102,8.520306172613454,5.800950250808781,12.8512793868869,9.5313923935048,6.489336412977632,14.376312788934316,16.58095233907178,11.28894639246089,25.009248106011057,18.548577926656655,12.628581132640324,27.97704123956279,11.639084199790425,6.283601146304667,18.42230922035741,5.980872444664033,3.228898107796971,9.46650781898285,2.6200514639470303,1.541519658108864,4.042539571550811
J032246.99+000855.9,332010_303,1-604053,8083-12704,5.561162497285479,3.649007510957754,8.981116669989655,11.65512255694501,7.647615003550984,18.822686001001745,12.061437184159978,7.914222053289798,19.478872378134614,25.278442890833908,16.586680935684665,40.823954514738126,17.55907340234711,9.218948805102094,29.022869782398168,8.095955647844006,4.250577404379122,13.381564114883169,3.949520677816678,1.932172007395685,6.498678521986458
J141235.79+471510.9,573938_1618,1-235398,8326-12701,9.73022637439029,7.493834712389031,10.759736066163777,10.4592732308576,8.055317706693486,11.565919956818242,17.264712165410938,13.296597051953867,19.09141051918731,18.558287838545727,14.292857766704907,20.521853377245957,21.4539851935078,18.945643149582136,29.43158250082397,12.091260518311662,10.677582973157142,16.587357932517534,2.239977347286678,1.745172359104623,5.179873678820356
J141924.05+455402.8,568983_316,1-235582,8326-3704,12.15841947319929,10.426782178935223,13.709622709814123,15.630840206349362,13.404650700249476,17.625064042148498,22.85327593309268,19.598446225244352,25.768957175445568,29.38012667593757,25.195723993138134,33.128520757284065,6.144970665046813,4.52989166859986,8.567923605152377,3.269252566453951,2.409996852802819,4.55831406887805,0.7158089761334528,0.5137072623674037,1.0291768562037331
J204541.09-045700.0,302832_5126,1-595895,9187-12704,4.833326650993267,3.914969120146904,6.479078623370833,9.57252245073629,7.753692746763568,12.831974757914882,8.403898914404815,6.8071138398994115,11.265433880430988,16.644128742121406,13.481656581965954,22.31146920631769,,,,,,,,,
J075947.27+252125.0,471812_4252,1-218102,9499-6102,10.990267421478949,8.37860298668323,13.65983241611842,17.511095372952283,13.349858594448028,21.76458670602632,20.483898589663273,15.616221818847569,25.459491678675786,32.637559038140964,24.88175575242002,40.5653083619127,6.9093850158922425,3.958665745170994,11.387797673018657,3.7071062771680894,2.1239509159468377,6.109918051992662,2.5640165295938493,1.562856456067832,3.564089946110062
J230920.26+004523.3,336077_3307,1-28725,12071-12703,3.2297192661630887,2.604124743304272,4.2617990837965545,7.6037157085706655,6.13088091748107,10.033537273576636,4.993202285947527,4.026022248245402,6.5888156752220555,11.75547703340634,9.478448771928871,15.512023529549934,12.01261593078091,8.178371030802229,16.21364082432455,7.770039122558487,5.28996042446529,10.487359643398127,1.1517075274256658,0.7776525510732296,1.5582837667969571
J134630.60+224221.6,458951_1398,1-523004,8320-6101,14.154231836497628,4.8345566054177525,20.15281781982968,18.492506570969507,6.316349119199819,26.32966029253397,26.499658165293347,9.051292850381376,37.73025547849612,34.62180840407878,11.825515820635609,49.294585917500115,10.257933408984789,6.420352497785731,28.86892824022264,5.479058134579445,3.4292954708644214,15.41972732759594,2.8799537770071555,1.598491588582429,10.623311068400486
J075158.32+154241.0,420512_1714,1-412058,10217-6103,12.653692514658172,10.02814631700966,15.553061318500696,19.45026187241244,15.414478559105032,23.906943780409932,13.722023304590504,10.874806488655006,16.866181126415416,21.092416018838406,16.715898048820563,25.925368371034907,9.078418336894792,7.045838879116475,11.60195003807248,8.371616313759734,6.497283724502775,10.698677964136929,1.5346383262623715,1.1876133846512589,1.987118453749984
J084740.19+255336.9,475758_189,1-585315,10498-12705,14.69150117456368,11.889307032048135,19.744133180011794,16.59043098171947,13.426043083818808,22.29613399779695,33.30162838061303,26.949818114555956,44.754567831126465,37.605984620822056,30.433179842339182,50.53925803065781,6.938031688571684,2.964619782775403,9.1613626038611,3.0608143102440843,1.307885444008362,4.04166931169002,2.651102129862924,1.064769875972525,5.372575225841761
J084756.00+254947.9,474460_3754,1-605482,9500-12704,9.131583499724234,7.916504702945156,9.76499390981474,9.841698546118126,8.5321294852821,10.524365940253224,23.88408462655051,20.705989084734014,25.540799241096448,25.74142381237417,22.316184556305988,27.526972377286462,19.962643266173902,18.380927084004256,23.78179061074265,7.632301874262881,7.02756555649372,9.092473508218292,1.412378798034603,1.0904380806410636,2.7758996863021053
J085023.10+255715.9,475761_1552,1-605504,9500-12702,11.900981302258836,10.568216638389984,12.91796142846774,14.179795572660996,12.591831521617609,15.391508281457892,21.437221348664917,19.036514181801905,23.26910625958361,25.54204637833162,22.681648904261262,27.72470282402649,13.334868834453644,12.1156305593071,15.431364572948135,7.402919533542549,6.72605326997612,8.566799692182707,1.7982588215792228,1.480481367946993,2.5053359615580835
J074912.12+173358.1,430182_3823,1-382326,9492-6101,9.428150754591366,7.724771255171405,11.0755798862344,17.181410677820306,14.077253406526992,20.183606676816147,16.354400576329787,13.399658825572796,19.212088859144377,29.80347684350131,24.418896899026507,35.01119119324503,4.8370009788884465,3.085891235256737,7.2564977210462365,2.788483394192403,1.778985884715436,4.183299421159598,1.0417448724586928,0.6951708576242772,1.5643012588992806
J074944.38+275113.4,484718_5096,1-201197,8147-9101,14.29263827940043,12.108370023663948,18.558151307477388,16.651321014261164,14.106587760922704,21.620762298127627,25.557875175148254,21.652000392770873,33.185399736983925,29.775635237139888,25.2251825095556,38.66191344137745,9.557468207537925,5.326493940621711,12.483164460992548,5.344788446656023,2.978715979673874,6.980915001757308,2.625661394446454,1.410974310516426,5.6986318840106245
J075016.87+275125.1,484718_4932,1-556498,8145-3704,20.248875876779817,18.321717465009808,22.643009461454767,25.85147540754851,23.391097429457737,28.90803449079047,36.6092048470325,33.12497503109124,40.9377081854837,46.738493758966776,42.290223052525114,52.26463744646801,10.92216667680476,8.955720801154275,12.761929958090125,6.041147254309934,4.953488600678184,7.058736641488993,1.712714037582722,1.4240083656336795,1.9696899047478404
J094841.16+032229.0,349675_4503,1-78284,11753-6103,6.729372696345078,5.383018373411483,7.644221295810107,8.677177488564489,6.941123334670468,9.856827365444428,15.417863225634834,12.333191334077004,17.51389969369615,19.88053593404132,15.903011325904997,22.583266378106355,19.97250059620106,17.36949272259498,27.03552850005915,8.717316934446808,7.581192566454513,11.800088290902982,4.747359359551225,4.033485687471283,6.689425826049703
J105456.35+412954.3,550058_1812,1-277103,8256-6101,16.017392627838788,12.538671992415903,20.02341268511628,21.039778674800708,16.47027638804586,26.30191948200295,32.27490086602731,25.265310337932338,40.34699494651022,42.394963197201264,33.18745753515163,52.99812919566409,10.144980078016031,7.209320494349396,13.993183278906557,5.034752230090642,3.577842652941129,6.944539090048129,1.5466040377083106,1.1181637861730236,2.120404523267603
J100024.36+004216.5,335288_1299,1-1038,11866-6102,28.65503485729251,25.08854630872194,33.57743168727376,34.36370112516062,30.086695455485195,40.26673960783291,43.05929325230231,37.7000090267312,50.45607115405471,51.63758101680321,45.21061827571812,60.50794765117933,5.470582652301413,4.091173075568313,6.77297679228426,3.6405552611575898,2.722587813987364,4.507270589262668,1.2567531771187674,0.938616267091126,1.7115686488802315
J100518.76+022944.6,345373_1974,1-60707,10516-3704,5.601068049903902,3.078215192824045,8.42912847683122,6.651305156721476,3.65540079197578,10.009645518514498,12.584254394678076,6.916010075743578,18.938226804741163,14.943884881072506,8.212807462948103,22.489268918576514,,,,,,,,,
J145806.23+105716.3,394285_1227,1-333429,11970-6102,12.514822126431174,9.92741063790214,16.91981378230987,26.863052730063444,21.30917665028026,36.31836275619989,13.996339017131024,11.102627224472956,18.922797896087,30.04312720122165,23.831777835927294,40.61776608149655,8.037067795345886,6.507946468059448,10.151255566049072,7.186341639318162,5.819078285858411,9.076741968993083,1.8524525319554377,1.447400162370932,2.430969548386415
J080020.98+263648.8,478304_4251,1-163966,8940-12702,5.979882409160701,5.001004620338923,6.935157371462077,9.471085273235058,7.920714484036202,10.984073323549008,11.126633369900793,9.30525737537053,12.904092113352078,17.62263640651486,14.73789617610612,20.437819411300257,25.441804638563784,21.546726246481665,31.00521107015101,13.673408205127837,11.58004267534212,16.663397643016232,3.2904188735530453,2.6945632822943075,4.087003060216993
J083630.84+040215.6,353917_3356,1-213435,9511-3701,14.564151594830218,11.221456391122045,19.16812587924252,21.433221907259895,16.513970167608814,28.20862532507067,25.049721187331876,19.30042763446582,32.968361104476905,36.86422991598453,28.40332618766177,48.517635570461586,7.610702539346029,4.906216666143431,10.440995666815503,4.424936497187462,2.852522099883952,6.070496456039128,0.7381557894770516,0.4939846384084951,1.0323996848844246
J084326.10+033652.0,351048_5463,1-585278,10511-12705,15.483754345933695,12.182681021142892,21.235200727685875,17.09477626217838,13.450239630326951,23.444637341302855,28.398373724996908,22.343956180220605,38.94696033772455,31.35310947154355,24.66875430719422,42.99923378984532,10.431734500028227,6.092924203572908,14.316164051815,5.687734655673707,3.322068458218619,7.80565709504953,1.4170563226804584,0.5682494258472053,1.8399369219305777
J152854.94+074443.0,375831_2123,1-335905,11965-12705,6.417305485385304,5.723168447112394,7.29675131042754,8.811809194701183,7.858667233458141,10.019404629420222,7.307356973379099,6.516946241233671,8.308777989873791,10.033967607374954,8.948629131129517,11.409051112595542,10.614393669259105,8.924699007746371,12.218284074721428,9.321538138334182,7.837651849563246,10.730071310372534,0.8959714176768854,0.7817929277606295,1.0648137618008522
J135037.77+434550.7,559752_1816,1-251119,8332-6103,12.978103315009,10.602761050076609,15.28335811430776,18.250136654561803,14.90987037033224,21.491844174499025,13.646018485145056,11.148429764432112,16.069912704558458,19.1893758355707,15.6772034977847,22.597917104412215,7.639180588958025,6.158491683356471,9.841354483150752,7.265274851667085,5.857059435924864,9.359661602466296,1.8490698152023088,1.4389705924468932,2.50315639198692
J152622.18+092347.1,385802_324,1-335448,11965-9102,12.518168773635384,11.96615930930179,13.028250036826348,16.30424470618885,15.58528192901474,16.968598245871334,19.38818509470706,18.533230838852138,20.17820080091138,25.2520731992964,24.138541048378755,26.281026365578654,8.9308122873509,8.352199808653483,9.62311159408624,5.766265122424261,5.392678392800808,6.213254849479717,1.3394277384364588,1.108718981325416,1.694414657242698
J131150.26+465557.6,572914_729,1-284522,8318-9102,6.70897367642744,5.340444193036301,8.151830322111582,11.581071653951152,9.218707636428697,14.071739676507134,12.615944084818894,10.042481693462108,15.329175592689952,21.77772033029216,17.3353937106829,26.461317259106632,14.237738789253804,10.080665706048876,19.749592632173822,7.571420268412271,5.360749889826229,10.502543146878695,3.0883917558764544,2.3058666271059147,4.442963327687968
J130455.77+473013.1,574870_1890,1-284485,8318-12703,14.332052919280818,9.146163104861088,25.395268982395653,17.046640484289917,10.87850813399504,30.20530434703843,18.43600562674298,11.765147352860131,32.66714995325257,21.927909536438115,13.993545676844024,38.85452865934772,14.088196821855403,6.432336525791643,23.68266735447264,10.952089431735905,5.000464273483484,18.41077989809609,2.4681639562237128,1.2683369628743515,4.310068567741137
J131130.99+462030.3,569937_3077,1-284982,8324-12702,12.493512483160828,5.931729522895044,15.97564514435998,21.685414997073988,10.29590489686141,27.729471217031836,20.968598853396426,9.955571504817264,26.812867470841468,36.395910970269426,17.280224428957943,46.54000699566579,10.64127089566966,7.554972071634928,25.50017785340284,6.340282996553707,4.501404149453397,15.193518296655576,1.7295800276774846,1.2040995575477798,4.729285328767615
J130945.12+455445.6,568934_464,1-284292,8324-9101,9.69355883020376,7.787634610159329,12.261944193808349,12.488618757294322,10.033136577698563,15.797577436941411,16.80626485384235,13.501857484526749,21.259218142058327,21.65221650481694,17.395009778470705,27.38914315215855,13.329325165761391,9.432624055852669,17.620148561317244,7.688120994456606,5.4405721321057525,10.16299267930489,3.524033141997559,2.2300865832871866,5.605148726703118
J102621.13+004105.7,335314_1107,1-2386,11838-12703,18.4929978190835,16.832105668699242,21.094214559566304,23.05381455000125,20.983306566541753,26.296553716799103,42.51651879981186,38.6980274428615,48.496873176699125,53.00211189724138,48.24188900287243,60.457365074515586,6.154050091624107,5.281431408679053,6.784904791610574,2.6767674808653155,2.2972129957820773,2.9511642311246504,1.0033745081018923,0.8134260386676941,1.3118091680918098
J103657.37+001347.1,332444_1704,1-2742,12518-9101,13.4781238333948,11.088547260386308,18.090357416937824,16.93202105931983,13.930092797109603,22.726183298247907,23.01333973888214,18.93323644064238,30.88853807695994,28.91072659078606,23.785058076090763,38.80401928900785,11.814474566336091,7.907550809075204,15.153449636729334,6.919332571383923,4.631181316265304,8.874855758630982,2.985543916714117,2.2957223287199877,3.474415464575648
J101502.66+054036.9,364068_906,1-182839,10518-9102,8.180899273787292,6.476417485357601,10.34096002249736,14.388291351076978,11.390505929966707,18.18733377273949,14.237735634994914,11.27131833951701,17.997025765140425,25.04085206773128,19.823616787379184,31.652565506017048,11.08208416746515,7.726175985259143,15.19103201854142,6.3676849073407915,4.439404490107455,8.72865643769269,1.514393390021484,1.0941244125497476,2.0484360880087764
J074953.14+445223.3,563632_4612,1-339057,8141-3703,19.738156277725373,16.381879665205258,23.090949626249863,43.34293635793151,35.97290231983657,50.705321510915,20.588178550545543,17.08736412840199,24.085359702181385,45.20949677802737,37.522072757014264,52.888942515244814,6.211293677028401,4.691914981863185,8.491328201105484,5.954848554622886,4.49820031074884,8.140747498735655,1.17472644294909,0.8647852612419056,1.643597813041114
J074655.82+441556.5,561569_2164,1-338771,8141-12701,13.829137600121562,12.147625157482588,15.249908898422756,16.055590155903204,14.103358903187509,17.70510166778475,22.148519144238048,19.455436494837237,24.424003068827194,25.714368908798487,22.587707469377037,28.356199394253224,10.180413680518232,8.153215628424629,12.985404116203362,6.356467477450847,5.090721419101208,8.107853132153004,0.8008294390897952,0.7159702759164343,1.101293972214947
J075511.57+442255.7,562607_63,1-44172,8141-12704,18.549210152919965,16.283081263880106,22.94690350764648,25.21911334974929,22.138132496834576,31.198124114950456,19.636041707705743,17.23713625494614,24.29140381850251,26.69674651829217,23.435245460849423,33.026078268185046,5.424573701942167,3.956451515363291,6.4764556799399555,5.1243299991485305,3.737466629514868,6.117991560699055,2.773625232710986,2.0065743896780504,4.283252115655857
J074809.26+433526.4,558442_3729,1-43724,8137-9102,10.958722461287987,8.380611010029613,12.460703405027433,15.209420572851576,11.631304466308189,17.293993838251787,17.602146775308537,13.46112611085966,20.01466238730724,24.42971379523973,18.68246313632763,27.778002312544345,11.7747044294219,7.706752626322731,20.136388660592377,7.33068071485111,4.798060383642763,12.536487595570026,1.241056331120387,0.7985414195419934,2.472257591512338
